,Unnamed: 0,index,Title,Director,Cast,Genre,comb
4535,4535,4535,Amar Deep,['T. Prakash Rao'],Dev Anand|Vyjayanthimala|Padmini|Pran|Johnny Walker|Ragini|,Musical|Romance,T Prakash Rao MusicalRomance Dev AnandVyjayanthimalaPadminiPranJohnny WalkerRagini Amar Deep
4536,4536,4536,Chaubees Ghante,['Dwarka Khosla'],Prem Nath|Shakila|K.N. Singh|Maruti|Shammi|Rajan Kapoor|Samson|,Action,Dwarka Khosla Action Prem NathShakilaKN SinghMarutiShammiRajan KapoorSamson Chaubees Ghante
4537,4537,4537,Detective,['Jean-Luc Godard'],Pradeep Kumar|Mala Sinha|Johnny Walker|Daisy Irani|K.N. Singh|Krishnakant|Moni Chatterjee|Bimla Kumari|Dhumal|Gautam Mukherjee|Bhagwan Sinha|Bhattacharya|Ratan Gaurang|Sailen Bose|,Mystery,JeanLuc Godard Mystery Pradeep KumarMala SinhaJohnny WalkerDaisy IraniKN SinghKrishnakantMoni ChatterjeeBimla KumariDhumalGautam MukherjeeBhagwan SinhaBhattacharyaRatan GaurangSailen Bose Detective
4538,4538,4538,12 O'Clock,['Pramod Chakravorty'],Guru Dutt|Waheeda Rehman|Shashikala|Rehman|Johnny Walker|Sabita Chatterjee|Hari Shivdasani|Rajan Kapoor|Tun Tun|Amrit Rana|Abrar Alvi|Tanvir|Jagdish Nirula|Bishan Khanna|,Drama|Mystery|Thriller,Pramod Chakravorty DramaMysteryThriller Guru DuttWaheeda RehmanShashikalaRehmanJohnny WalkerSabita ChatterjeeHari ShivdasaniRajan KapoorTun TunAmrit RanaAbrar AlviTanvirJagdish NirulaBishan Khanna 12 OClock
4539,4539,4539,Chandan,['M.V. Raman'],Kishore Kumar|Nutan|Mala Sinha|Pran|Karan Dewan|Shyama|Johnny Walker|David Abraham|,Comedy|Drama|Family,MV Raman ComedyDramaFamily Kishore KumarNutanMala SinhaPranKaran DewanShyamaJohnny WalkerDavid Abraham Chandan
4540,4540,4540,Devar Bhabhi,['Kedar Kapoor'],Rajendra Kumar|Leela Mishra|Ram Mohan|Balraj Sahni|Sarita|,Drama,Kedar Kapoor Drama Rajendra KumarLeela MishraRam MohanBalraj SahniSarita Devar Bhabhi
4541,4541,4541,Ek Shola,['Chander Saigal'],Pradeep Kumar|Mala Sinha|Shubha Khote|Nasir Hussain|Jawahar Kaul|Dhumal|S.K. Prem|Kumari Naaz|Tun Tun|Leela Mishra|Honey Irani|Narbada Shankar|Rajan Kapoor|Gopal Vashist|,Comedy|Drama|Romance,Chander Saigal ComedyDramaRomance Pradeep KumarMala SinhaShubha KhoteNasir HussainJawahar KaulDhumalSK PremKumari NaazTun TunLeela MishraHoney IraniNarbada ShankarRajan KapoorGopal Vashist Ek Shola
4542,4542,4542,Dulhan,['C.V. Rajendran'],Nirupa Roy|Raaj Kumar|Nanda|Jeevan|Agha|Master Bhagwan|Gajanan Jagirdar|Manorama|Sheila Kashmiri|Munshi Munakka|Maqbool|Iqbal|Indira Bansal|Mumtaz Moti|,Drama,CV Rajendran Drama Nirupa RoyRaaj KumarNandaJeevanAghaMaster BhagwanGajanan JagirdarManoramaSheila KashmiriMunshi MunakkaMaqboolIqbalIndira BansalMumtaz Moti Dulhan
4543,4543,4543,Farishta,['Sunil Sikand'],Sohrab Modi|Ashok Kumar|Meena Kumari|Anita Guha|Mubarak|Nana Palsikar|Sheikh|Murad|Mehmood|Mridula Rani|Parker|,Crime|Drama|Family,Sunil Sikand CrimeDramaFamily Sohrab ModiAshok KumarMeena KumariAnita GuhaMubarakNana PalsikarSheikhMuradMehmoodMridula RaniParker Farishta
4544,4544,4544,Do Phool,['S. Ramanathan'],Kumari Naaz|Master Romi|Vijaya Choudhury|Bipin Gupta|Ulhas|Jeevan|Pratima Devi|Rajan Haksar|Neelam|Amir Banu|Mumtaz Begum|Banerjee|Nasreen|Amir Ali|,Drama|Family,S Ramanathan DramaFamily Kumari NaazMaster RomiVijaya ChoudhuryBipin GuptaUlhasJeevanPratima DeviRajan HaksarNeelamAmir BanuMumtaz BegumBanerjeeNasreenAmir Ali Do Phool
4545,4545,4545,Gopichand,['Ishwarlal'],Prem Adib|Durga Khote|Shahu Modak|,\N,Ishwarlal N Prem AdibDurga KhoteShahu Modak Gopichand
4546,4546,4546,Gauri Shankar,['Raja Nene'],Jeevan|Trilok Kapoor|,\N,Raja Nene N JeevanTrilok Kapoor Gauri Shankar
4547,4547,4547,Kabhi Andhera Kabhi Ujala,['C.P. Dixit'],Kishore Kumar|Nutan|Kumkum|Shekhar|Chitra|Helen|Madan Puri|Lala Yaqoob|,Drama|Family,CP Dixit DramaFamily Kishore KumarNutanKumkumShekharChitraHelenMadan PuriLala Yaqoob Kabhi Andhera Kabhi Ujala
4548,4548,4548,Homelife,['K. Bapaiah'],Balraj Sahni|Nargis|Rajendra Kumar|Kumkum|Johnny Walker|Shammi|Kumari Naaz|Ansari|Devika|Kathana|Krishnakant|Jillani|Marharbleshwar|Parsuram|,Drama|Family,K Bapaiah DramaFamily Balraj SahniNargisRajendra KumarKumkumJohnny WalkerShammiKumari NaazAnsariDevikaKathanaKrishnakantJillaniMarharbleshwarParsuram Homelife
4549,4549,4549,Jailor,['Sohrab Modi'],Sohrab Modi|Geeta Bali|Abhi Bhattacharya|Nana Palsikar|Daisy Irani|Kamini Kaushal|Eruch Tarapore|Pratima Devi|Pandey|Anil|Khwaja Sabir|Lillian|Uma Dutt|Jagdish Kamal|,Crime|Drama,Sohrab Modi CrimeDrama Sohrab ModiGeeta BaliAbhi BhattacharyaNana PalsikarDaisy IraniKamini KaushalEruch TaraporePratima DeviPandeyAnilKhwaja SabirLillianUma DuttJagdish Kamal Jailor
